"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","phenoid"
"cell3365",2.83521676490215,-0.855078706776192,0.00515568843785141,-1.13303174882966,0.948744873956119,-1.7042848270546,1.50175194911427,-1.50475225541777,1.76899421656362,-0.0511583699980315,-5.30596893973797,-4.01833621253118,0.627545532898853,-9.11171389936236,6.43134013955024,-10.8528761571141,10.1159780759027,-4.42225037395421,"CD4+/CD45RO+_Memory"
"cell4216",4.52132494516724,-1.32689906347472,-1.35629576595729,5.94796025597267,-0.627326266824891,-0.374228029059535,3.57003207458088,1.56240192693362,3.15377969387199,1.43634695923162,1.97819766924815,-4.17940118291985,7.5162251497691,-2.41206611909367,9.09153074816203,-9.69278934306484,15.5450472950099,1.39632144491504,"CD4+/CD45RO+_Memory"
"cell4574",4.38750201044335,-2.44333416634466,-1.3011728665202,-1.8742035486646,2.33619490296905,1.51373646835023,-2.11410633779863,2.36169958509549,1.29154388958003,0.184617541338835,-0.38842635854578,3.62291175820129,0.677654254510068,-0.929306322826352,-2.3377949781734,9.57830597892899,-5.1553042335549,-4.18548000807953,"CD14+_Monocyte"
"cell4731",3.59492248193916,15.2660397135221,16.4470501419274,-20.7187065491015,-4.1291278645003,-10.4878870082135,-3.66547756698487,-0.350062948860403,-3.21308795866461,12.2930421069856,8.31171014751572,4.14390705905072,-6.17418400007259,2.24804116656179,2.94385882080602,-5.35483656192154,2.85563745692348,-0.517348822061329,"CD19+_B"
"cell4770",0.055863490429881,-3.62397004495531,3.11424621009334,-9.34516136662005,9.92677337434445,2.28211850462118,-3.93061328550799,-1.81782087679623,-0.288468601050129,0.39340115740127,2.87387468756011,0.0208696877481136,-0.560001869539261,-0.423214401274105,-0.411313270652335,2.10445843863106,-1.95216214748818,3.35542243918299,"CD8+_Cytotoxic_T"
"cell5307",6.90256953357005,-0.635108563902064,-2.18093049978991,4.04072683498398,-7.09769988921819,-4.58028254325814,-0.556106158640874,-0.237858494961217,2.34412425980854,2.08625991263073,0.578388763030298,-3.71576849144577,4.27096068527263,1.27717099138807,2.70317951571783,1.91374774103298,-3.04446819431309,-1.12358550970253,"CD56+_NK"
"cell5539",3.51910755484231,-3.9639262777018,-0.035942584921553,-0.81620496271217,3.766100619694,5.341371060077,0.250038745852168,7.98975149967844,1.85265459204368,0.143367553036156,-1.53671839012869,1.92895332770846,-10.7136389787967,0.9568898117431,-2.43079736975068,11.5204467692473,-3.89827295070014,-11.925461524276,"CD14+_Monocyte"
"cell5581",5.39438551754763,-1.5468839780171,-2.08958950576897,3.1353057751351,-6.22957868236162,-7.3450699577889,4.14215867796106,0.245327028939663,0.863545636518321,1.49285042398252,-3.34112197586066,2.13783700050848,-2.63095477962922,-1.83985374642545,0.732213581621069,-3.02878139037268,-0.294044548057668,-1.84746787301705,"CD4+/CD45RA+/CD25-_Naive_T"
"cell5925",-1.08272781737218,-6.50279320553362,2.18760911046978,-9.8677277584666,9.56415656578316,4.25132327199041,-4.6929303801523,-0.362645799768754,-0.932444897605608,0.835656901034141,3.23006180229688,-0.611699444987969,-1.63295318244957,-0.585800247390017,0.0946526931029091,1.84328360709038,-1.76658960141338,3.24001774031748,"CD19+_B"
"cell5972",3.20099254028369,-6.37958864528268,-0.960829525486923,-1.35924218329955,1.70754995562532,-1.83047129089232,-1.04986465098761,0.588230476192999,1.76065106747016,2.60972859650924,-0.130209670679018,-1.70395598250555,1.54004828214623,-3.14329378147846,1.62252927805047,-4.8730860134956,2.82932557728675,0.716164256124723,"CD4+_T_Helper2"
