"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","phenoid"
"cell435",2.4226127904181,-5.18219285752584,0.150900348554746,-4.98872489767775,6.8717114749679,-0.345245347384104,1.27128907996521,-0.95196794806568,1.64328177545013,-2.76211209370922,0.335274532624028,-0.38001520582711,1.18037804607614,-1.22379196156768,2.60405030184397,-1.33694871201481,0.549139769521711,3.59147275255579,-0.559245509931005,1.46499486537102,-2.4812042285812,1.27752889222892,"CD4+/CD45RO+_Memory"
"cell436",2.95329372254869,-1.53353651645836,-1.18124842846169,-8.85824471101515,8.7269180456245,-2.07121512389131,-5.20530077997473,-0.556468194767621,2.13798205828973,1.13878792150035,1.65858932623301,-1.56623315555243,-0.0265319453450054,-2.0624600363668,-1.12006614981378,3.63901706111529,-1.11023388481283,-3.79811439427583,2.60645670405227,-1.57297408470041,0.275820952099683,-2.76153200374004,"CD4+/CD45RO+_Memory"
"cell505",3.64089799497374,-5.3901039629399,3.90398506757677,10.1408968740293,0.525660876795344,4.84348605127327,-8.44693534731216,-3.63151559116518,3.78432474154436,-1.02767437415989,0.0696154938343028,2.02826647678387,3.42699571654493,-2.10022261184914,-1.54237237003901,-2.44580278220764,0.204631009738704,-3.85436906629474,-1.62003206838716,-1.03622474161889,1.13180237834098,0.372900664654715,"CD14+_Monocyte"
"cell553",0.941932658909077,-7.78971068110946,4.80372816301679,8.08957442380763,-0.888258080361938,3.78293021852432,-6.52657893741393,-1.66934192928939,1.9913992452459,0.900014982125763,-1.54016774400953,1.66783731181196,-1.28561764662862,-0.474488496733763,1.17849445840476,2.17426555756479,-0.351954967711918,-0.729675781517425,1.75066774839216,0.153157225062776,0.262512037567757,2.60285253827454,"CD14+_Monocyte"
"cell746",3.00032973179636,-7.39316836205817,-2.91401536414187,2.59579278147491,-4.39936030261052,-0.921129396584531,0.158115407369665,0.175944873458331,1.51323468206721,-0.337967425533152,-0.284793213835166,-1.09638607785675,0.094813153826722,-0.353880227972706,1.62981662153974,-0.486336688049244,0.500505023286807,2.94259816490728,-1.50603689038128,1.54689698484235,-1.63633300624189,1.82925939399629,"CD4+/CD25_T_Reg"
"cell755",3.92087065663655,-5.8710917454073,-2.10981488034268,0.708852842000786,-4.24415120273089,1.24270224920014,1.45305344430471,0.328734930110292,0.871849596083516,-0.988746401581135,-0.948434706381111,0.348831180371532,1.42792919518338,-1.07048515559069,-1.12275811771467,2.10730850285089,-2.67382385663529,-0.562743246721501,-4.59336968525672,1.448875185068,-1.4890307581781,0.179971658433847,"CD4+/CD25_T_Reg"
"cell850",-2.78462021830904,0.70852674440395,17.0426005760874,2.52430663319813,2.56422747029821,-4.49528101548512,6.5663284255983,-0.440246605440084,-2.81014844052501,0.806586095566911,1.28206056342413,3.05840215396779,-0.562087467926689,0.599445118029332,-2.05174462983482,1.06249576683862,1.00974358005337,1.40461364387503,0.0839162511629964,2.93310472862696,-0.818367392430205,-0.625262099205664,"CD19+_B"
"cell861",0.215109474532023,-1.34215350653623,13.4098349189782,-0.17644086763101,5.67772812940708,-3.39515576176022,5.69055583554269,1.49012657823538,-1.77082276049783,1.79646109234414,2.85887480788695,0.905627682544982,2.95480047393084,4.62915796231483,-3.98802434338062,0.367043280937953,-2.08295607636797,-1.60609673060685,-1.79708004945275,2.48727239213177,1.50545459087084,-1.87899068194148,"CD19+_B"
"cell1017",6.27578639251585,6.14210396536421,-8.65140655611775,-0.701336204046889,-1.68975526984248,-0.30835989952339,1.32545952243889,-3.35116015114536,-2.61079006133591,0.386529532661428,2.00756993521448,-1.32108401532296,-4.84708295264141,7.80336070060803,-1.00153572439494,2.72688184035935,8.98790837364323,7.20335150267586,11.4527990825033,1.70187040868273,-9.21421782820797,-6.89840315365129,"CD4+/CD45RA+/CD25-_Naive_T"
"cell1032",5.36167266323421,-5.57484395356239,-3.77228465185739,-3.48290924488281,-4.07429677539361,-0.883396640233101,2.01486616937015,-0.761539169063085,-1.01830452976079,-1.37608512404116,0.366112578731367,0.264575149735594,0.988182366965934,-0.160959797183375,2.42194724113128,3.01584481331733,-0.423340482121469,2.37024223396508,1.29940383177016,-0.301290154430055,1.10047266350496,5.66537643666108,"CD4+/CD45RA+/CD25-_Naive_T"
